Czas Odczytu,Current [A],Flow [l/min],Temp [°C]
2025-01-07 11:40:51,,,,1.30 l/min,21.0 °C
2025-01-07 11:40:52,,,,1.30 l/min,21.0 °C
2025-01-07 11:40:53,,,,1.30 l/min,21.0 °C
2025-01-07 11:40:54,,,,1.30 l/min,21.0 °C
2025-01-07 11:40:55,,,,1.30 l/min,21.0 °C
2025-01-07 11:40:56,,,,1.29 l/min,21.0 °C
2025-01-07 11:40:57,,,,1.29 l/min,21.0 °C
2025-01-07 11:40:58,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:00,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:01,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:02,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:03,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:04,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:05,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:06,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:07,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:09,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:10,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:11,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:12,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:13,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:14,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:15,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:16,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:17,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:18,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:19,,,,1.31 l/min,21.0 °C
2025-01-07 11:41:21,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:22,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:23,,,,1.30 l/min,21.0 °C
2025-01-07 11:41:24,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:25,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:26,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:27,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:28,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:29,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:30,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:31,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:32,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:33,,,,1.29 l/min,21.0 °C
2025-01-07 11:41:34,,,,1.29 l/min,21.0 °C
